Date,3M_R1_TO1,3M_R1_TO2,3M_R1_TO3,3M_R2_TO1,3M_R2_TO2,3M_R2_TO3,3M_R3_TO1,3M_R3_TO2,3M_R3_TO3,3M_R4_TO1,3M_R4_TO2,3M_R4_TO3,3M_R5_TO1,3M_R5_TO2,3M_R5_TO3,6M_R1_TO1,6M_R1_TO2,6M_R1_TO3,6M_R2_TO1,6M_R2_TO2,6M_R2_TO3,6M_R3_TO1,6M_R3_TO2,6M_R3_TO3,6M_R4_TO1,6M_R4_TO2,6M_R4_TO3,6M_R5_TO1,6M_R5_TO2,6M_R5_TO3,9M_R1_TO1,9M_R1_TO2,9M_R1_TO3,9M_R2_TO1,9M_R2_TO2,9M_R2_TO3,9M_R3_TO1,9M_R3_TO2,9M_R3_TO3,9M_R4_TO1,9M_R4_TO2,9M_R4_TO3,9M_R5_TO1,9M_R5_TO2,9M_R5_TO3,12M_R1_TO1,12M_R1_TO2,12M_R1_TO3,12M_R2_TO1,12M_R2_TO2,12M_R2_TO3,12M_R3_TO1,12M_R3_TO2,12M_R3_TO3,12M_R4_TO1,12M_R4_TO2,12M_R4_TO3,12M_R5_TO1,12M_R5_TO2,12M_R5_TO3
2014-04-01,0.17780738922739636,0.19876328345447108,0.22399744655762183,0.1316596028880154,0.11990977334185365,0.19344125389514163,0.1349781917065125,0.1220444224905985,0.11781563487767444,0.08550769802422223,0.07014451351065985,0.07246001794277568,0.046646889890113244,0.05607928420449728,0.05231483975946865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,0.2591542810344653,0.1378032192874205,0.15564433395622135,0.05624027240121249,0.07949528073593318,0.04538862447569753,0.04177133216456564,0.05736525762933088,-0.010362399014404167,0.026238871865184796,0.003726996443575786,0.021665040916642675,-0.016284325928266247,-0.011368501626430147,-0.052919828851634904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-02,0.43978471971048005,0.45166391124275934,0.46684483163069457,0.29200261903264063,0.273594045362073,0.30576592435457045,0.17263410295827136,0.18583360063716234,0.16846741178568891,0.13256160367053163,0.1028333815033501,0.14966972183855923,-0.007129602791749324,-0.02120874645590456,0.0011328914768438947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,0.3272336665650264,0.28788756492579737,0.21371413935872235,0.13268729561973525,0.0959710997151493,0.15817279828675446,0.1039110607224775,0.07696790259146659,0.0657370370840904,0.07493141275758218,0.08431690907636386,0.09127830685295865,0.04508906159520684,0.048804995278486,0.08293895271255643,0.25024277054953453,0.2825662185018269,0.20791878191052873,0.09331561191996247,0.16211147798821957,0.09901051458414663,0.10002189507417794,0.11377513342506203,0.08845460359077381,0.12475088151132575,0.05846910910639432,0.08145576611882638,0.061186382795911674,0.038428749582665546,0.07735860458032047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,0.04220702472201481,0.05576161730610733,0.00773368894453806,0.030671996309367382,-0.06585529505265549,-0.015633659546280376,0.0062071345452875525,-0.06191734816043413,-0.05728216710853942,0.001080582942317513,-0.03952609268378728,-0.08316466402881344,-0.024204266426090425,-0.018138229305579918,-0.09118170923447678,0.0237103693571543,-0.001067699974295771,0.03598973642967604,0.016498738368668987,-0.06520886042984625,-0.04752217389953047,-0.04447656627091021,-0.04290038058182374,-0.05184436446650007,-0.006506237592721544,-0.03799450082785572,-0.02564493067119688,0.007019093298441962,-0.004890025247353925,-0.060342187711494535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,0.18926964804651739,0.22633839588365662,0.17282200864921146,0.1002883288239369,0.07026669793053454,0.11234116105006738,0.03303751795574834,0.074093511432827,0.041683482340788565,0.02026932791666226,0.03057172731519098,0.0450566563455924,-0.045618187173617715,-0.037588002941653494,-0.026318976994347806,0.1523018408210799,0.187190823400561,0.13017372269634456,0.04406927091888458,0.06502153178912899,0.07856961805912467,0.0649365971146143,0.025760799124095842,0.05517742462731737,0.07953976533960039,0.031136536625767278,0.024168530427913837,0.025832635621455706,0.02051900455091253,0.0034022386170114117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,0.11732828614873596,0.14471500448853708,0.20515558038449272,0.05942080035296362,0.05511139656899054,0.03289443931998708,0.034075733753503666,0.013230083474090108,0.06775270135282897,-0.01467942959895352,-0.012884869354275418,-0.01610069980628138,-0.04492937842212105,-0.0798681880968296,-0.14538108495206584,0.11303687062623134,0.14218006001753963,0.12566957526697756,0.05786047212014317,0.05283669462940987,0.03047114880308394,0.032136793682739,0.024013185151623165,0.01648364019896819,0.004627486728304429,-0.018751108017128624,-0.025694440417273458,-0.0038967098778289813,-0.036032127102873145,-0.09672407590401375,0.11800136435777325,0.154489121811546,0.13158339794280594,0.05994152906314635,0.04117088547810493,0.05331051806901897,0.03303807356069426,0.04391936016550218,-0.018716878842187524,0.013601702431979383,-0.015494211676498545,-0.06766993072580853,-0.01517596504599616,-0.06891081714323456,-0.07061880544675311,,,,,,,,,,,,,,,
2014-11-03,0.06009475625602263,0.053614116446894435,0.10143108197234145,0.03606952167379143,0.05349362639691901,0.08373548735855194,0.029419017284639203,0.05974999060154976,0.0532140456947186,0.014636525635174735,0.01625566336303457,0.03045471547569621,0.022930746962743727,0.05805975129731606,0.03499854646038318,0.06429754100547444,0.041683385030957684,0.09831681222837009,0.05164640757210811,0.03886444671269274,0.07377781813677708,0.0250304158309259,0.0597751989578257,0.09285956296496886,0.019382777596525787,0.036922269782135524,0.05467646949187587,0.0015272042928331558,0.018483175762219563,0.03764354693995144,0.05410346480891346,0.02760564254793534,0.11762718282693596,0.04664042051139258,0.07278769573792532,0.0808271939669591,0.05220998747837302,0.0517509315203805,0.06497131453371786,0.023116430846012156,0.041238793480509094,0.03397797106954129,-0.0016742840469863563,-0.0049462778445055295,0.04450847270613595,,,,,,,,,,,,,,,
2014-12-01,0.15205040465860686,0.145754926935372,0.1098261627424755,0.07280766187185615,0.039835410370815685,0.06272681221716626,0.036752280201030156,0.018118145321145807,0.04241264225270825,-0.017391424876969167,-0.0263544369601931,-0.004270700029189894,-0.09262892778583774,-0.08427275547509482,-0.07081491287174631,0.13465573242000167,0.03926503772694017,0.09394527256939483,0.08102197264262606,0.05056068377144588,0.04828581457616609,0.014149092714961467,0.03275928422384359,0.08215551205561178,0.00975068237150332,-0.01866708050529673,-0.0227093800087163,-0.04143575745839,-0.0726688140541087,-0.05847786128194849,0.15210131600521334,0.018831358550707396,0.07991225266936483,0.09442040099241468,0.034444847234469125,0.08366952869392885,0.0409557930578553,-0.010352468529923175,-0.0002077269515669611,0.0066329796376829,0.004140371139619283,0.00985332736797618,-0.028866914513772643,-0.054647625033124154,-0.03891778873255186,,,,,,,,,,,,,,,
2015-01-01,0.08577692717847865,0.06907254594941345,0.0829657098730825,0.044402933722858313,0.04492327283835333,0.038369661930552794,0.0004376568557193794,0.026828927166263408,0.008441221826710865,0.00047231998956334675,-0.004459487388054941,-0.03827447414644394,-0.03834660037687133,-0.03111970112256393,-0.04419421497937956,0.07140062788712409,0.04033573998524676,0.09252921725158379,0.05238640671481895,0.023498328488963664,0.004563334609009969,0.021209142159598345,0.009691255431425582,-0.0022248202567879682,-0.005053404449518324,-0.012572760048411258,0.006032212789239529,-0.043142287583953644,-0.0013330989057143139,-0.009268852291101859,0.058839067242813625,0.046167234212290784,0.05484586140902376,0.06657461148944972,0.04316057728975617,0.04910689867979388,-0.001451750588159587,-0.021835220773202196,0.0028705701979428342,-0.007013242059900074,-0.021743783131419153,0.013582979662719636,-0.013546532144154596,0.011769646620588013,-0.025925226274313286,0.06438219854029181,0.046904350408151725,0.0625245626686863,0.05471730689508242,0.04614112153421752,0.021715719722488855,-7.056688240439489e-05,-0.02021468239999299,0.01321216896774735,-0.00689119737867915,-0.0078051137035612655,-0.00887129782897707,-0.00852432918268549,0.009030514254949116,-0.018582407165837776
